url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Genre_1,decade
http://www.billboard.com/charts/hot-100/2015-08-15,8/15/2015,50,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,47,1,50,Electropop,2010-2018
http://www.billboard.com/charts/hot-100/2015-08-15,8/15/2015,50,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,47,1,50,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2017-12-23,12/23/2017,49,Congratulations,Post Malone Featuring Quavo,CongratulationsPost Malone Featuring Quavo,2,45,8,50,Hip-Hop/Rap,2010-2018
http://www.billboard.com/charts/hot-100/2012-06-09,6/9/2012,48,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Moves Like JaggerMaroon 5 Featuring Christina Aguilera,1,49,1,49,Dance/Electronic,2010-2018
http://www.billboard.com/charts/hot-100/2013-09-21,9/21/2013,47,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,Thrift ShopMacklemore & Ryan Lewis Featuring Wanz,2,37,1,49,Hip-Hop/Rap,2010-2018
http://www.billboard.com/charts/hot-100/2011-07-02,7/2/2011,48,Just The Way You Are,Bruno Mars,Just The Way You AreBruno Mars,1,44,1,48,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2011-08-06,8/6/2011,50,Fuck You,Cee Lo Green,F**k You! (Forget You)Cee Lo Green,1,50,2,48,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2013-05-04,5/4/2013,50,Little Talks,Of Monsters And Men,Little TalksOf Monsters And Men,2,49,20,48,Alternative/Indie,2010-2018
http://www.billboard.com/charts/hot-100/2013-05-04,5/4/2013,50,Little Talks,Of Monsters And Men,Little TalksOf Monsters And Men,2,49,20,48,Neo-Folk,2010-2018
http://www.billboard.com/charts/hot-100/2014-03-29,3/29/2014,48,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell,1,43,1,48,Contemporary R&B,2010-2018
http://www.billboard.com/charts/hot-100/2014-03-29,3/29/2014,48,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred LinesRobin Thicke Featuring T.I. + Pharrell,1,43,1,48,Pop,2010-2018
